Community District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Financial District,101,29.4,35.2,29.7,25.8,22.9,21.4,14.7,14.9,12.6
Greenwich Village and Soho,102,37.2,42.3,34.4,32.8,29.4,27.2,15.8,15.8,14
Lower East Side and Chinatown,103,28.7,34.4,28.1,27,23.8,20.9,13.7,14.1,12.4
Clinton and Chelsea,104,32.1,37.5,30.8,27,23.9,22,15.3,14.9,15.2
Midtown,105,43.4,47.8,40.4,29.8,26.3,23.7,17.1,16.6,13.9
Stuyvesant Town and Turtle Bay,106,37.4,42.3,36.4,27.4,23.8,20.5,14.6,14.5,13.6
Upper West Side,107,33.2,37.3,30.4,22.3,19.9,19.3,13.8,13.2,11.5
Upper East Side,108,37.7,41.3,34.2,27.2,23.9,22,15.3,14.7,12.7
Morningside Heights and Hamilton Heights,109,23,27.5,22,16.9,15.1,15,12.5,11.8,11.1
Central Harlem,110,22.4,26.9,21.4,17.2,15.4,15.1,12.8,12.1,11.7
East Harlem,111,23.5,28.3,23.4,18.6,16.2,15.2,13.1,12.6,12.7
Washington Heights and Inwood,112,21.7,25.5,20.7,16.4,14.7,15.8,13.5,12.2,13.8
Mott Haven and Melrose,201,19.5,23.8,19.9,16.3,14.3,13.3,15.4,14.7,15.8
Hunts Point and Longwood,202,17.7,21.4,18.4,15.7,13.6,12.3,16.2,15.5,19.1
Morrisania and Crotona,203,18.4,22.1,18.8,15.4,13.6,12.8,12.1,11.5,11.7
Highbridge and Concourse,204,22.2,26,21.8,16.8,14.8,14.4,13.3,12.3,12.9
Fordham and University Heights,205,23.7,27.1,22.8,17.3,15.4,14.8,13.4,12.3,13.6
Belmont and East Tremont,206,20.2,23.4,20,16.5,14.6,13.7,12.4,11.6,12.1
Kingsbridge Heights and Bedford,207,20.8,23.6,20.1,15.8,14.3,14.1,11.9,11.2,10.5
Riverdale and Fieldston,208,15.1,18.5,15,13.1,12,11.9,9.9,9.5,8.5
Parkchester and Soundview,209,17.9,20.9,18.8,16.6,14.3,12.7,11.4,10.9,12.1
Throgs Neck and Co-op City,210,16.9,19.1,18.2,16.1,13.7,11,11,10.5,10.4
Morris Park and Bronxdale,211,15.8,18.4,16.5,14.2,12.6,11.4,10.2,9.8,10.4
Williamsbridge and Baychester,212,15,17.6,15.9,14.1,12.6,11.3,10.1,9.7,9.4
Greenpoint and Williamsburg,301,18.6,24.6,20.5,20.1,17.3,16.3,19.9,20.9,23.8
Fort Greene and Brooklyn Heights,302,21.4,27.3,23.2,22.9,20,18.3,13.2,13.8,13.8
Bedford Stuyvesant,303,16.8,22.4,19.5,19,16.4,15.9,11.8,12.8,13.5
Bushwick,304,16.9,22.2,18.9,18.5,15.8,15.2,12.9,14,13.1
East New York and Starrett City,305,16.6,20.8,18.7,18.1,14.6,13.3,10.9,11.9,12.1
Park Slope and Carroll Gardens,306,17.6,23.2,19.8,19.4,17,15.7,15.1,15.5,14.7
Sunset Park,307,16.8,21.5,18.7,18.2,15.8,14.6,14.6,14.6,16.2
Crown Heights and Prospect Heights,308,18.9,24.1,20.6,19.9,17.1,16.7,11.8,12.6,12.1
South Crown Heights and Lefferts Gardens,309,18.9,23.8,20.5,19.3,16.6,16.3,10.8,11.6,11.1
Bay Ridge and Dyker Heights,310,15.9,19.5,17.5,15.7,13.3,11.7,9.8,9.9,11.7
Bensonhurst,311,15.5,18.4,16.9,14.9,12.5,11.2,9,9.2,11.1
Borough Park,312,15.9,19.8,17.5,16.1,13.8,12.9,10,10.3,11.2
Coney Island,313,14.4,16.1,15.6,13.7,11.2,9.6,8.9,9,9.6
Flatbush and Midwood,314,18.3,22.1,19.6,17.4,14.7,13.7,9.6,10.1,10.6
Sheepshead Bay,315,15.6,17.8,17,14.6,12,10.3,8.6,8.9,10.1
Brownsville,316,16.4,21.2,18.9,18.3,15.3,14.7,11.9,13,12.1
East Flatbush,317,17.5,21.9,19.4,18.2,15.3,14.4,10.3,11.1,11.9
Flatlands and Canarsie,318,14.8,18.1,16.7,15.5,12.7,11.4,9.4,10.1,10
Long Island City and Astoria,401,16.3,21.2,17.4,15.4,13.2,12,11.9,12.1,11.4
Woodside and Sunnyside,402,18.7,24.3,20.2,18,15.3,13.7,18.7,19.3,24.2
Jackson Heights,403,16.8,21.1,18.3,15.9,13.4,12.1,10.2,10.6,10.6
Elmhurst and Corona,404,18.5,22.8,20.1,17.8,14.7,13.1,10.8,11.2,11.9
Ridgewood and Maspeth,405,15.9,20.9,18.1,17.2,14.3,13.2,13.4,14.5,18.7
Rego Park and Forest Hills,406,19.4,23.2,20.8,18.2,14.7,13.2,10.1,10.7,10.1
Flushing and Whitestone,407,16,18.3,17.2,15.2,12.4,10.9,11.5,11.3,9.7
Hillcrest and Fresh Meadows,408,17.1,19.2,18.4,16.1,12.6,11.3,10.4,10.5,9.5
Kew Gardens and Woodhaven,409,17,20.6,18.7,17.1,13.6,12.5,10.3,11,11
South Ozone Park and Howard Beach,410,15.9,19,17.5,16.1,12.6,11.5,9.3,10,9.6
Bayside and Little Neck,411,16.5,17.3,17.4,15.1,11.8,9.9,10.6,10.1,8.9
Jamaica and Hollis,412,16.8,18.3,17.8,15.6,11.9,10.7,10.7,10.8,10.7
Queens Village,413,16,16.2,16.7,14.4,10.8,9.4,10.4,10,11.8
Rockaway and Broad Channel,414,15.3,15.5,15.9,13.6,10.1,7.9,8,8.3,7.1
St. George and Stapleton,501,12.2,15.4,13.1,12.3,10.2,9.2,8.2,9,10.3
South Beach and Willowbrook,502,11.3,12.9,11.5,10.8,8.6,7.7,7.1,7.8,8.7
Tottenville and Great Kills,503,10.7,9.8,9.6,8.9,6.6,6.4,6.5,7,8.5
